 , , OBJECT 1, , , , , , , OBJECT 2,,,,,,,,,,,,,,,,
t, , x1, y1, vx1, vy1, ax1, ay1, , x2, y2, vx2, vy2, ax2, ay2,,,,,,,,,,,
0.165, ,0.81004,-0.436978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.166, ,0.81404,-0.434778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.167, ,0.81804,-0.432578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.168, ,0.82204,-0.430378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.169, ,0.82604,-0.428178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.17, ,0.83004,-0.425978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.171, ,0.83404,-0.423778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.172, ,0.83804,-0.421578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.173, ,0.84204,-0.419378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.174, ,0.84604,-0.417178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.175, ,0.85004,-0.414978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.176, ,0.85404,-0.412778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.177, ,0.85804,-0.410578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.178, ,0.86204,-0.408378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.179, ,0.86604,-0.406178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.18, ,0.87004,-0.403978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.181, ,0.87404,-0.401778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.182, ,0.87804,-0.399578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.183, ,0.88204,-0.397378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.184, ,0.88604,-0.395178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.185, ,0.89004,-0.392978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.186, ,0.89404,-0.390778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.187, ,0.89804,-0.388578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.188, ,0.90204,-0.386378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.189, ,0.90604,-0.384178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.19, ,0.91004,-0.381978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.191, ,0.91404,-0.379778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.192, ,0.91804,-0.377578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.193, ,0.92204,-0.375378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.194, ,0.92604,-0.373178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.195, ,0.93004,-0.370978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.196, ,0.93404,-0.368778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.197, ,0.93804,-0.366578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.198, ,0.94204,-0.364378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.199, ,0.94604,-0.362178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.2, ,0.95004,-0.359978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.201, ,0.95404,-0.357778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.202, ,0.95804,-0.355578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.203, ,0.96204,-0.353378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.204, ,0.96604,-0.351178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.205, ,0.97004,-0.348978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.206, ,0.97404,-0.346778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.207, ,0.97804,-0.344578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.208, ,0.98204,-0.342378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.209, ,0.98604,-0.340178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.21, ,0.99004,-0.337978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.211, ,0.99404,-0.335778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.212, ,0.99804,-0.333578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.213, ,1.00204,-0.331378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.214, ,1.00604,-0.329178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.215, ,1.01004,-0.326978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.216, ,1.01404,-0.324778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.217, ,1.01804,-0.322578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.218, ,1.02204,-0.320378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.219, ,1.02604,-0.318178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.22, ,1.03004,-0.315978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.221, ,1.03404,-0.313778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.222, ,1.03804,-0.311578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.223, ,1.04204,-0.309378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.224, ,1.04604,-0.307178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.225, ,1.05004,-0.304978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.226, ,1.05404,-0.302778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.227, ,1.05804,-0.300578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.228, ,1.06204,-0.298378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.229, ,1.06604,-0.296178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
